id,species,n.counted,n.measured,n.total
39232,60,0,6,6
39233,5,1089,150,1239
39229,9,0,7,7
39230,1,0,4,4
39230,28,0,28,28
39231,5,0,83,83
39227,5,0,1,1
39227,23,0,67,67
39228,2,0,75,75
39228,12,0,1,1
39229,2,0,219,219
39224,5,598,131,729
39225,5,0,96,96
39225,12,0,27,27
39225,60,271,111,382
39226,9,0,21,21
39222,2,0,270,270
39222,9,0,26,26
39223,2,0,163,163
39223,9,0,7,7
39223,60,0,54,54
39219,28,0,104,104
39221,1,0,6,6
39221,5,70,94,164
39221,9,0,13,13
39217,28,0,169,169
39218,1,0,7,7
39218,28,228,113,341
39219,2,0,242,242
43626,5,290,98,388
43627,3,0,107,107
43627,12,10,10,20
43627,28,56,56,112
43628,5,0,83,83
43628,28,0,78,78
43629,2,0,174,174
43630,5,0,6,6
39216,3,0,10,10
39216,60,0,12,12
39215,5,448,77,525
39215,12,0,1,1
39557,3,0,22,22
39557,12,0,18,18
39552,5,0,6,6
39553,2,0,5,5
39553,9,0,13,13
39554,3,0,9,9
39555,3,0,2,2
39548,28,0,169,169
39549,5,0,211,211
39549,12,0,107,107
39550,5,0,558,558
39551,12,0,1,1
39545,28,0,74,74
39546,5,196,216,412
39546,28,0,24,24
39547,3,0,1,1
39548,1,0,176,176
39543,5,0,55,55
39543,23,0,2,2
39544,9,0,3,3
39545,5,108,289,397
39539,1,314,383,697
39540,5,0,394,394
39540,28,0,47,47
39541,2,0,3,3
39542,2,0,72,72
39542,12,0,11,11
39535,12,0,4,4
39536,1,0,87,87
39537,1,0,130,130
39537,12,0,2,2
39538,1,987,642,1629
39538,9,0,1,1
39538,28,0,272,272
39532,12,0,46,46
39533,3,0,27,27
39533,23,0,1,1
39534,2,0,300,300
39534,23,0,9,9
39528,12,0,6,6
39529,1,333,402,735
39529,9,0,8,8
39530,3,0,1,1
39530,23,0,1,1
39531,5,0,289,289
39525,23,0,60,60
38922,3,0,5,5
38922,60,0,109,109
38923,5,0,19,19
38923,28,0,14,14
38924,2,205,251,456
38924,12,0,1,1
38924,28,0,28,28
38921,5,0,91,91
38916,12,0,25,25
38917,2,0,58,58
38917,9,0,13,13
38917,60,0,4,4
38918,5,0,94,94
38918,28,0,20,20
38919,2,0,6,6
38913,9,0,1,1
38913,28,0,23,23
38914,5,0,122,122
38915,5,0,4,4
38916,5,0,6,6
38910,23,0,1,1
38911,1,264,526,790
38911,60,0,7,7
38912,5,0,43,43
38912,28,0,87,87
38913,2,0,8,8
38908,2,0,13,13
38908,12,0,5,5
38910,5,0,9,9
43631,1,0,38,38
43632,3,0,1,1
43632,12,6,6,12
43633,2,506,423,929
43633,9,0,2,2
43634,2,514,249,763
43634,9,0,8,8
43635,1,0,10,10
43635,23,0,4,4
43635,60,162,162,324
43636,5,104,69,173
43637,1,0,10,10
43638,2,0,265,265
43638,23,0,12,12
43639,1,0,139,139
43639,12,0,2,2
43640,28,0,25,25
43641,3,0,27,27
43641,9,0,16,16
43641,60,0,23,23
43644,2,673,401,1074
43644,23,0,3,3
43645,1,0,29,29
43645,9,0,20,20
43645,60,341,144,485
43646,5,0,87,87
43647,1,0,3,3
43647,60,0,90,90
43648,2,0,15,15
43648,9,0,7,7
43649,1,0,4,4
43650,2,0,108,108
43650,12,0,4,4
43650,28,0,28,28
43651,1,0,6,6
39526,2,0,60,60
39526,12,0,56,56
39527,2,1335,448,1783
39527,12,0,8,8
39528,2,4928,461,5389
39521,28,0,46,46
39522,9,0,5,5
39523,2,0,1,1
39524,23,0,1,1
39519,5,0,2,2
39519,23,0,3,3
39158,12,0,3,3
39158,28,0,2,2
39159,3,0,16,16
39159,23,0,1,1
39160,23,0,10,10
39161,1,0,11,11
39156,1,0,159,159
39156,23,0,28,28
39156,28,0,184,184
39157,12,0,5,5
39157,28,0,108,108
39153,23,0,135,135
39153,60,0,2,2
39154,12,0,4,4
39155,2,0,31,31
39151,12,0,12,12
39152,3,0,2,2
39152,12,0,46,46
39153,2,0,44,44
38904,5,0,2,2
38905,1,0,73,73
38905,5,0,31,31
38905,28,0,69,69
38906,3,0,3,3
38907,5,0,71,71
38902,12,0,78,78
38902,28,0,12,12
43651,12,0,6,6
43651,60,0,46,46
43652,2,0,12,12
43652,9,0,6,6
43653,3,0,43,43
43653,60,0,15,15
43654,5,185,181,366
43654,12,0,5,5
43654,28,0,60,60
43655,2,0,123,123
39369,12,0,79,79
39370,1,0,36,36
39364,28,0,10,10
39365,5,0,84,84
39366,1,0,210,210
39367,2,0,5,5
39367,5,0,4,4
39367,23,0,5,5
39363,2,0,76,76
39363,12,0,3,3
39364,2,0,8,8
39360,1,0,253,253
39360,28,0,50,50
39361,5,0,149,149
39356,28,0,77,77
39357,3,0,4,4
39358,5,514,162,676
39358,28,0,16,16
39352,5,0,55,55
39352,28,0,124,124
39353,9,0,4,4
39354,1,0,93,93
39354,5,0,262,262
39355,5,0,52,52
39348,9,0,20,20
39348,28,0,66,66
39349,12,31,62,93
39350,2,0,18,18
39351,1,1566,701,2267
39345,12,0,5,5
39345,28,0,12,12
39346,5,0,89,89
39347,2,0,36,36
39347,12,0,47,47
39347,28,0,57,57
39348,5,0,151,151
39342,9,0,5,5
39343,9,0,5,5
39343,28,0,7,7
39345,2,0,8,8
39339,9,0,238,238
39150,60,0,30,30
39151,5,8,240,248
39146,60,7,3,10
39148,1,0,8,8
39148,28,0,14,14
39149,3,0,3,3
39145,1,0,8,8
39145,5,712,232,944
39145,28,0,22,22
39146,5,668,271,939
39520,1,0,55,55
39520,9,0,15,15
39520,28,0,31,31
39521,9,0,107,107
39516,2,402,354,756
39516,12,0,10,10
39516,28,0,261,261
39517,9,0,1,1
39518,23,0,16,16
39512,3,0,1,1
39513,5,741,234,975
39513,28,0,117,117
39514,12,0,24,24
39514,28,67,264,331
39508,5,95,250,345
39509,1,568,643,1211
39510,1,0,52,52
39511,2,0,3,3
39505,12,0,65,65
39506,9,0,72,72
39506,23,0,28,28
39507,2,0,1,1
39507,12,0,7,7
39507,28,0,3,3
39464,9,0,1,1
39462,12,0,4,4
39463,28,0,11,11
39464,3,0,25,25
39460,5,64,98,162
39462,1,0,15,15
39462,5,0,103,103
38903,5,0,24,24
38903,12,0,46,46
38903,28,0,25,25
38898,60,0,4,4
38899,3,0,1,1
38900,5,2300,166,2466
38901,2,0,2,2
38896,3,0,1,1
38897,3,0,3,3
38895,28,0,35,35
38890,3,0,1,1
38891,3,0,5,5
38888,3,0,1,1
38888,28,0,29,29
38889,12,0,22,22
38884,60,0,7,7
38885,5,0,12,12
38885,12,0,7,7
38886,5,0,1,1
38882,1,0,69,69
39339,28,0,7,7
39340,5,0,128,128
39341,3,0,5,5
39341,12,0,1,1
39341,28,0,50,50
39337,5,0,232,232
39338,5,0,139,139
39338,28,0,51,51
39459,2,117,208,325
39460,1,0,25,25
39456,12,0,1,1
39456,28,0,6,6
39457,1,0,28,28
39457,5,1333,162,1495
39457,28,0,50,50
39458,2,405,236,641
39454,12,0,2,2
38876,1,173,500,673
38876,12,0,3,3
38877,5,0,18,18
38878,28,0,1,1
38879,28,0,1,1
56411,2,0,144,144
56411,28,0,89,89
56412,1,0,105,105
56412,9,0,6,6
56413,9,0,10,10
56413,60,0,29,29
56414,2,0,71,71
56414,12,0,6,6
56415,2,0,9,9
56415,9,0,4,4
56415,28,0,16,16
56416,2,0,2,2
56416,9,0,1,1
56416,60,0,22,22
56417,12,0,3,3
56417,60,0,17,17
56418,1,0,19,19
56418,28,0,14,14
56419,1,0,129,129
56419,12,0,4,4
56419,28,105,200,305
56420,9,0,10,10
56420,60,0,1,1
56421,9,0,1,1
56422,2,0,25,25
56422,28,0,84,84
56423,1,0,2,2
56423,60,0,1,1
56424,1,0,13,13
56425,5,0,37,37
56426,1,0,11,11
56426,12,0,8,8
56427,5,0,12,12
56427,12,0,4,4
56428,2,0,11,11
56428,28,0,51,51
56429,1,0,35,35
56429,12,0,2,2
56430,9,0,45,45
56431,2,0,13,13
56431,9,0,32,32
56431,28,0,138,138
56432,1,0,133,133
56432,28,0,41,41
56434,1,307,247,554
56434,28,0,40,40
56435,5,0,42,42
56436,5,0,54,54
56437,5,0,159,159
56437,28,0,26,26
56438,1,0,44,44
56439,5,0,107,107
56439,12,0,12,12
56440,5,0,38,38
56786,23,0,5,5
56787,5,0,12,12
56788,2,578,301,879
56789,2,0,116,116
56790,3,0,1,1
56791,23,37,65,102
56792,1,0,4,4
56793,2,0,4,4
56793,9,0,2,2
56795,1,0,264,264
56795,23,0,1,1
56796,3,0,1,1
56796,12,0,4,4
56796,60,0,38,38
56797,5,1710,141,1851
56798,2,0,297,297
56798,60,0,58,58
56799,1,0,93,93
56799,5,311,180,491
56800,1,0,140,140
56800,9,0,2,2
56800,28,79,148,227
56801,1,0,12,12
56802,3,0,2,2
56803,3,0,10,10
56804,3,0,4,4
56804,9,0,4,4
56805,28,142,115,257
56804,60,0,16,16
56806,1,0,4,4
56806,5,0,105,105
56806,60,0,29,29
56808,2,45,129,174
56809,12,0,6,6
56811,5,30,43,73
56526,2,0,11,11
56527,2,0,2,2
56527,28,0,17,17
56528,5,1414,202,1616
56932,12,0,3,3
56933,9,0,3,3
56812,2,0,202,202
56812,5,1140,209,1349
35470,1,0,18,18
35472,2,0,7,7
35473,2,0,88,88
35474,1,0,9,9
35474,12,0,2,2
35474,28,0,66,66
35475,2,0,17,17
35942,2,0,141,141
35942,23,0,9,9
35943,1,0,327,327
35943,23,0,8,8
35944,2,0,175,175
35944,28,0,8,8
35945,5,0,5,5
35946,23,0,6,6
35947,1,0,444,444
35947,9,0,18,18
35948,12,0,1,1
35948,28,0,58,58
35950,3,0,5,5
35950,28,0,15,15
35951,1,0,89,89
35951,12,0,14,14
35951,28,0,10,10
35953,1,0,232,232
35953,12,0,1,1
35954,28,0,65,65
35955,1,0,33,33
35956,2,0,37,37
35956,9,0,6,6
35956,23,0,9,9
35957,1,0,16,16
35957,60,0,30,30
35959,1,0,8,8
35959,9,0,17,17
35960,5,1777,214,1991
35961,1,0,5,5
56529,5,454,101,555
56529,60,0,4,4
56530,5,1029,191,1220
56530,12,0,10,10
56530,28,0,73,73
56531,2,100,160,260
56531,12,0,9,9
56532,2,0,165,165
56532,28,0,74,74
56533,12,0,12,12
56534,2,0,120,120
56534,28,0,59,59
56535,23,0,12,12
56535,60,3,7,10
56536,23,0,26,26
56537,2,322,116,438
56537,23,0,40,40
56538,23,0,28,28
56539,1,0,35,35
56539,23,0,12,12
56540,1,0,13,13
56541,12,0,2,2
56541,28,0,130,130
56542,5,136,110,246
56543,2,0,78,78
56543,12,0,13,13
56544,23,0,22,22
56545,3,0,2,2
56545,12,0,48,48
56545,28,383,148,531
56546,2,0,64,64
56547,9,0,1,1
56547,28,0,140,140
56548,2,8592,328,8920
56548,28,0,196,196
56549,5,0,55,55
56549,28,0,42,42
56551,12,0,12,12
56552,5,0,17,17
56554,5,966,161,1127
56555,1,0,110,110
56555,12,0,1,1
56556,2,0,11,11
56556,23,0,48,48
56557,1,0,134,134
56557,12,0,1,1
56934,9,0,8,8
56935,9,0,11,11
56936,9,0,41,41
56937,2,170,174,344
56937,23,0,3,3
56938,1,0,78,78
56938,12,0,9,9
56938,28,18,58,76
56939,2,0,163,163
56939,12,0,12,12
56940,2,0,98,98
56941,5,0,66,66
56942,1,0,18,18
56943,9,0,5,5
56943,28,0,58,58
56944,1,0,10,10
56944,12,0,4,4
56945,5,0,56,56
56945,23,0,1,1
56946,5,0,57,57
56947,12,0,32,32
56948,5,0,153,153
56948,23,0,1,1
56949,2,0,60,60
56949,28,0,1,1
56950,5,0,125,125
56950,23,0,1,1
56951,3,0,2,2
56951,23,0,2,2
56952,5,0,117,117
56953,5,0,58,58
56954,9,0,71,71
56956,5,0,197,197
56957,1,0,96,96
56957,5,104,100,204
56958,5,0,85,85
56958,28,0,48,48
56959,5,94,104,198
56960,12,0,88,88
56961,12,0,35,35
56961,28,20,146,166
56963,28,52,130,182
56964,12,0,11,11
56965,1,0,51,51
56965,28,185,103,288
56966,5,0,18,18
56966,28,0,13,13
56967,1,0,94,94
56968,1,0,81,81
56969,2,0,31,31
56641,3,0,1,1
56641,12,0,6,6
56813,28,99,99,198
56814,28,0,2,2
56815,2,0,16,16
56816,12,0,6,6
56817,1,0,13,13
56817,60,0,47,47
56818,12,0,4,4
56818,28,399,115,514
56819,5,0,217,217
56820,1,0,24,24
56820,12,0,2,2
56821,3,0,2,2
56821,28,0,46,46
56822,1,0,12,12
56822,5,0,76,76
56823,1,0,8,8
56824,5,0,215,215
56823,60,0,14,14
56824,12,0,3,3
56824,60,0,119,119
56825,9,0,2,2
56826,5,0,16,16
56826,28,0,59,59
56827,5,0,90,90
56828,1,0,19,19
56828,5,0,69,69
56828,60,76,119,195
56829,1,0,29,29
56829,5,205,134,339
56829,60,90,117,207
56830,9,0,2,2
56831,3,0,7,7
56832,1,0,42,42
56832,12,0,1,1
56832,28,22,67,89
56833,1,0,22,22
56833,5,0,84,84
56834,1,0,10,10
56558,5,0,52,52
56558,23,54,115,169
56559,5,0,62,62
56559,60,0,1,1
56560,12,0,2,2
56560,23,138,134,272
56442,3,0,1,1
56442,28,0,44,44
56642,2,0,3,3
56642,12,0,36,36
56643,1,0,332,332
56643,28,170,120,290
56644,1,0,187,187
56644,9,0,82,82
56645,5,234,299,533
56645,12,0,14,14
56646,2,0,1,1
56646,9,0,10,10
56647,5,0,83,83
56647,28,0,37,37
56648,1,0,46,46
56648,9,0,49,49
56648,23,0,1,1
56648,60,14,7,21
56649,2,0,111,111
56649,12,0,11,11
56650,2,0,195,195
56650,12,0,23,23
56650,28,0,103,103
56651,1,0,12,12
56651,12,0,12,12
56651,28,173,161,334
56652,2,0,90,90
56652,9,0,18,18
56652,23,0,14,14
56653,1,0,19,19
56653,9,0,31,31
56654,1,0,5,5
56654,12,0,1,1
56654,60,0,1,1
56655,12,0,3,3
56656,1,0,11,11
56657,3,0,9,9
56657,9,0,5,5
56657,23,0,24,24
56658,1,0,32,32
56658,9,0,55,55
56659,1,0,78,78
56659,28,0,67,67
56660,3,0,1,1
56660,12,0,24,24
56661,1,0,144,144
56663,5,0,60,60
56663,28,0,78,78
56664,2,0,47,47
56665,5,73,150,223
56666,12,0,5,5
56667,1,0,32,32
56667,9,0,16,16
56668,1,0,13,13
56668,12,0,1,1
56668,28,0,50,50
56669,1,0,29,29
56669,9,0,3,3
56670,1,0,6,6
56969,9,0,5,5
56969,28,56,193,249
56970,3,0,16,16
56560,28,8,42,50
56561,5,0,19,19
56562,12,0,4,4
56564,5,0,27,27
56565,5,0,74,74
56565,23,0,2,2
56566,9,0,54,54
56566,28,0,89,89
56567,3,0,3,3
56568,1,0,20,20
56568,9,0,18,18
56568,23,0,28,28
56569,5,372,128,500
56570,23,0,22,22
56571,2,0,75,75
56571,23,0,48,48
56571,28,0,42,42
56572,1,0,264,264
56572,5,0,14,14
56574,1,0,23,23
56574,5,0,16,16
56574,9,0,55,55
56574,28,325,144,469
56575,1,0,20,20
56576,1,0,29,29
56576,9,0,48,48
56576,28,0,88,88
56577,5,0,108,108
56578,1,0,156,156
56578,2,0,2,2
56578,12,0,15,15
56579,5,0,168,168
56579,23,0,1,1
56580,5,0,180,180
56581,5,0,186,186
56581,28,0,142,142
56582,5,0,171,171
56582,28,0,70,70
56583,1,0,12,12
56583,9,0,24,24
56583,28,0,95,95
56584,5,0,235,235
56585,3,0,6,6
56834,60,250,103,353
56443,1,2016,403,2419
56443,5,0,22,22
56443,28,1524,157,1681
56444,12,0,14,14
56445,1,0,130,130
56445,12,0,37,37
56446,5,0,1,1
56446,28,0,7,7
56448,1,0,76,76
56448,28,0,13,13
56449,1,0,35,35
56449,5,0,28,28
56449,12,0,11,11
56449,28,0,21,21
56450,2,0,2,2
56450,12,0,2,2
56453,5,0,4,4
56454,12,0,7,7
56456,5,0,6,6
56456,28,0,10,10
56457,1,0,2,2
56457,12,0,11,11
56458,1,0,8,8
56460,12,0,4,4
56461,5,0,1,1
56462,12,0,9,9
56463,60,0,3,3
56464,12,0,7,7
56466,2,0,1,1
56466,12,0,1,1
56467,2,0,2,2
56467,12,0,20,20
56467,28,0,34,34
56468,12,0,5,5
56971,2,0,6,6
56971,12,0,10,10
56671,5,0,205,205
56672,1,0,25,25
56672,28,660,139,799
56837,2,4089,142,4231
56837,28,106,118,224
56839,5,129,93,222
56839,23,0,1,1
56840,28,0,43,43
56841,1,0,1,1
56841,9,0,4,4
56843,2,0,1,1
56844,23,0,5,5
56845,23,0,3,3
56847,2,154,77,231
56848,3,0,3,3
56849,2,0,3252,3252
56850,1,0,4,4
56850,28,272,69,341
56851,1,0,8,8
56852,1,0,8,8
56852,5,594,183,777
56853,2,0,43,43
56853,12,0,1,1
56854,3,0,1,1
56855,1,0,2,2
56855,9,0,4,4
56857,5,0,10,10
56858,2,1352,305,1657
56859,3,0,2,2
56859,60,0,29,29
56860,3,0,7,7
56860,12,18,2,20
56861,5,31,26,57
56861,28,62,32,94
56862,1,0,3,3
56863,2,0,3,3
56863,23,0,9,9
56864,1,0,2,2
56586,9,0,2,2
56587,1,220,225,445
56587,2,0,10,10
56587,12,0,4,4
56469,28,0,1,1
56673,2,0,7,7
56674,12,0,189,189
56675,9,0,85,85
56676,1,0,20,20
56676,60,0,1,1
56677,5,88,150,238
56677,23,0,21,21
56677,28,0,2,2
56678,2,0,63,63
56678,23,0,18,18
56679,1,0,9,9
56679,9,0,2,2
56680,12,0,4,4
56681,1,0,27,27
56681,5,63,169,232
56681,23,78,146,224
56682,2,0,191,191
56682,23,0,24,24
56683,1,0,33,33
56683,12,0,18,18
56683,28,25,117,142
56684,23,0,11,11
56685,2,36,184,220
56685,12,0,3,3
56685,28,0,49,49
56686,3,0,7,7
56686,9,0,20,20
56687,1,0,75,75
56687,12,0,16,16
56688,9,0,5,5
56689,5,859,251,1110
56690,2,99,130,229
56690,28,55,172,227
56691,2,0,8,8
56691,9,0,8,8
56692,12,0,106,106
56692,28,250,162,412
56693,2,0,1,1
56693,28,226,165,391
56694,1,0,16,16
56695,5,457,165,622
56695,12,0,18,18
56695,28,83,101,184
56696,3,0,1,1
56697,5,83,170,253
56697,28,137,118,255
56698,5,520,143,663
56588,3,0,1,1
56589,5,6426,189,6615
56590,3,0,1,1
56591,60,0,9,9
56592,5,0,25,25
56594,12,0,50,50
56595,1,936,254,1190
56595,9,0,75,75
56595,28,0,19,19
56596,5,0,10,10
56597,12,0,59,59
56598,5,0,27,27
56598,28,0,121,121
56599,2,2146,193,2339
56599,23,0,2,2
56600,9,0,30,30
56600,28,117,117,234
56601,2,776,214,990
56601,12,0,12,12
56602,9,0,2,2
56602,28,0,152,152
56604,12,0,43,43
56605,23,0,44,44
56606,1,0,56,56
56607,1,0,206,206
56607,3,0,6,6
56607,12,0,39,39
56607,28,132,141,273
56608,2,571,343,914
56608,23,0,1,1
56609,2,0,15,15
56611,3,0,16,16
56611,12,0,21,21
56611,28,152,143,295
56612,5,135,227,362
56613,5,0,56,56
56865,12,3,1,4
56866,2,0,14,14
56471,5,0,3,3
56471,28,0,70,70
56472,9,0,1,1
56473,1,0,54,54
56473,9,0,41,41
56474,5,0,168,168
56474,28,0,36,36
56475,1,0,57,57
56475,12,0,4,4
56476,12,0,2,2
56477,28,0,30,30
56478,28,0,4,4
56479,1,0,353,353
56479,12,0,12,12
56479,28,0,11,11
56480,5,0,88,88
56480,28,0,15,15
56481,5,0,68,68
56483,28,250,52,302
56484,9,0,138,138
56485,1,0,35,35
56485,12,0,12,12
56486,1,0,36,36
56487,5,0,27,27
56488,2,608,250,858
56488,28,0,82,82
56489,2,0,52,52
56489,12,0,3,3
56490,1,0,128,128
56490,12,0,1,1
56491,9,0,46,46
56491,60,0,2,2
56493,5,0,1,1
56493,28,266,122,388
56494,1,0,9,9
56494,28,0,66,66
56496,1,0,64,64
56496,23,0,8,8
56498,9,0,76,76
56499,3,0,1,1
56594,28,0,12,12
56435,28,0,43,43
56455,12,0,13,13
56753,28,0,38,38
56870,60,0,108,108
44397,60,0,12,12
56877,12,0,2,2
56914,3,0,2,2
56700,12,0,15,15
56866,60,0,41,41
56867,23,21,7,28
56868,2,0,22,22
56869,1,0,3,3
56870,1,0,4,4
56870,5,230,122,352
56870,28,106,107,213
56872,5,0,22,22
56874,2,0,67,67
56874,12,0,8,8
56875,9,0,20,20
56876,2,0,18,18
56876,12,0,8,8
56877,5,0,37,37
56878,12,0,8,8
56879,5,219,169,388
56879,23,0,1,1
56880,1,0,103,103
56880,9,0,77,77
56881,1,0,112,112
56881,5,0,87,87
56881,28,0,63,63
56882,9,0,9,9
56883,3,0,7,7
56883,28,0,9,9
56884,23,0,4,4
56884,28,97,140,237
56885,9,0,3,3
56889,2,225,169,394
56889,12,0,25,25
56890,9,0,90,90
56890,28,0,115,115
56891,2,0,53,53
56891,12,0,13,13
56892,1,0,89,89
56892,5,0,154,154
56892,12,0,19,19
56893,1,0,19,19
56894,3,310,119,429
56894,28,0,8,8
56895,5,157,143,300
56896,2,0,2,2
56896,9,0,220,220
56613,9,0,15,15
56613,28,135,75,210
56614,12,63,21,84
56499,12,0,6,6
56499,23,0,80,80
56500,5,235,102,337
56701,12,0,12,12
56703,5,0,22,22
56703,28,118,189,307
56704,5,0,144,144
56704,12,0,9,9
56704,28,0,31,31
56706,5,0,183,183
56708,28,73,102,175
56709,1,0,30,30
56709,12,0,7,7
56710,1,0,32,32
56710,28,0,51,51
56711,9,0,41,41
56713,1,0,5,5
56713,28,825,260,1085
56714,2,0,1,1
56714,9,0,87,87
56714,28,200,128,328
56715,5,0,57,57
56715,28,20,99,119
56717,5,0,143,143
56718,1,0,259,259
56718,9,0,24,24
56719,1,0,23,23
56719,28,0,77,77
56720,5,0,191,191
56721,1,0,237,237
56722,1,0,183,183
56722,9,0,23,23
56723,1,185,395,580
56723,5,312,113,425
56724,1,0,56,56
56724,12,0,30,30
56615,5,0,157,157
56615,28,0,87,87
56616,1,0,190,190
56616,3,0,2,2
56616,9,0,76,76
56616,23,0,1,1
56617,5,74,160,234
56617,23,0,5,5
56618,2,99,128,227
56618,12,0,14,14
56619,5,60,201,261
56619,12,0,20,20
56619,28,0,54,54
56620,9,0,36,36
56621,5,0,189,189
56622,2,1807,381,2188
56622,12,0,6,6
56623,3,0,3,3
56624,1,0,79,79
56625,9,0,14,14
56625,28,0,54,54
56626,3,0,6,6
56626,12,0,47,47
56626,28,0,204,204
56627,3,0,2,2
56628,23,0,2,2
56629,1,0,14,14
56629,9,0,20,20
56631,5,0,16,16
56631,28,1073,184,1257
56632,1,0,454,454
56632,9,0,7,7
56632,28,1636,228,1864
56633,1,0,106,106
56633,23,0,9,9
56634,5,0,80,80
56635,2,2957,462,3419
56635,12,0,3,3
56635,28,0,64,64
56636,1,0,29,29
56636,9,0,33,33
56637,3,0,1,1
56637,12,0,2,2
56638,2,680,350,1030
56639,1,0,278,278
56640,1,0,298,298
56897,5,0,39,39
56898,1,0,257,257
56898,12,0,19,19
56899,2,0,9,9
56899,12,67,76,143
56900,9,0,2,2
56500,28,0,14,14
56501,28,0,62,62
56502,23,0,20,20
56502,60,0,10,10
56504,1,0,23,23
56504,28,0,79,79
56505,2,394,325,719
56505,23,0,6,6
56506,1,0,14,14
56506,23,0,4,4
56506,60,0,2,2
56507,2,0,143,143
56507,5,0,78,78
56508,3,0,1,1
56508,12,0,24,24
56509,9,0,37,37
56509,28,0,76,76
56510,5,0,138,138
56510,23,0,2,2
56510,28,0,98,98
56511,5,150,150,300
56511,60,13,13,26
56512,1,0,11,11
56512,2,0,167,167
56512,5,310,166,476
56512,12,0,8,8
56513,1,0,43,43
56513,60,6,12,18
56514,23,0,1,1
56514,60,0,13,13
56515,1,0,3,3
56515,5,516,215,731
56515,28,0,35,35
56516,9,0,17,17
56517,1,0,1,1
56518,28,0,5,5
56519,5,0,220,220
56519,28,0,57,57
56520,2,0,178,178
56520,9,0,86,86
56521,1,0,21,21
56521,12,0,11,11
56521,28,0,96,96
56522,1,0,9,9
56522,9,0,94,94
56522,28,0,117,117
56523,5,1310,131,1441
56524,3,0,27,27
56524,12,0,3,3
56525,1,0,5,5
56525,9,0,6,6
56525,60,123,3,126
56725,1,0,56,56
56725,23,0,10,10
56726,9,0,5,5
56901,1,0,22,22
56901,9,0,1,1
56901,28,229,161,390
56903,12,0,28,28
56904,9,0,49,49
56905,3,0,1,1
56905,12,0,4,4
56905,28,0,186,186
56906,12,0,20,20
56909,2,0,1,1
56910,1,0,56,56
56910,9,0,104,104
56911,9,0,41,41
56912,12,0,40,40
56913,1,0,144,144
56913,9,0,5,5
56913,23,0,1,1
56914,5,0,59,59
56914,23,0,1,1
56915,5,0,148,148
56916,2,0,48,48
56916,28,0,209,209
56917,2,0,216,216
56917,5,3777,206,3983
56917,23,0,1,1
56918,1,0,460,460
56918,12,0,12,12
56919,1,0,63,63
56919,12,0,13,13
56920,9,0,58,58
56920,28,148,119,267
56921,1,0,371,371
56921,12,0,34,34
56922,28,264,168,432
56924,12,0,11,11
56925,5,0,118,118
56925,28,0,57,57
56926,1,0,154,154
56926,12,0,4,4
56927,3,0,1,1
56928,1,0,52,52
56929,5,66,151,217
56930,2,0,2,2
56930,9,370,330,700
56931,5,1040,189,1229
56727,1,0,39,39
56728,5,0,56,56
56729,1,0,92,92
56729,9,0,222,222
56730,5,0,180,180
56731,1,0,131,131
56731,12,0,7,7
56732,1,0,260,260
56732,9,0,217,217
56733,5,0,86,86
56734,12,0,9,9
56735,5,0,1,1
56735,28,38,167,205
56736,2,0,294,294
56736,5,0,116,116
56736,12,0,4,4
56737,5,0,52,52
56737,23,0,1,1
56737,60,110,85,195
56738,23,0,1,1
56739,2,0,308,308
56739,12,0,1,1
56740,2,0,9,9
56741,2,478,275,753
56742,1,0,9,9
56742,5,0,125,125
56742,12,0,12,12
56742,60,0,29,29
56744,2,0,112,112
56745,2,0,122,122
56745,9,0,8,8
56745,60,0,78,78
56746,5,0,142,142
56746,60,0,145,145
56747,5,882,157,1039
56748,1,0,14,14
56748,5,1268,159,1427
56748,28,0,40,40
56749,2,0,17,17
56749,12,0,1,1
56749,60,65,5,70
56751,1,0,6,6
56751,28,0,10,10
56752,9,0,1,1
56753,2,477,249,726
56369,1,927,270,1197
56369,23,0,12,12
56370,3,0,178,178
56370,28,38,125,163
56371,2,0,62,62
56371,12,0,24,24
56371,28,0,76,76
56372,3,0,4,4
56372,12,0,6,6
56373,2,320,267,587
56373,9,0,13,13
56373,28,233,143,376
56373,60,75,71,146
56374,9,0,90,90
56375,60,165,87,252
56753,5,0,112,112
56753,12,0,11,11
56754,2,0,73,73
56754,9,0,2,2
56377,12,0,2,2
56378,12,0,3,3
56379,9,0,75,75
56755,5,138,190,328
56755,28,0,29,29
56756,5,210,138,348
56756,9,0,4,4
56757,5,145,142,287
56758,3,0,1,1
56758,28,0,1,1
56759,3,0,2,2
56759,60,0,7,7
56760,5,1213,257,1470
56760,9,0,8,8
56760,28,0,9,9
56761,3,0,1,1
56761,60,0,43,43
56762,5,480,123,603
56763,2,0,145,145
56763,12,0,3,3
56763,28,0,21,21
56764,2,0,40,40
56764,60,0,55,55
56765,12,0,1,1
56766,1,0,14,14
56766,9,0,2,2
56767,1,0,1,1
56767,12,0,1,1
56767,28,0,43,43
56768,2,0,40,40
56768,60,0,11,11
56769,5,1879,178,2057
56770,1,0,10,10
56770,9,0,2,2
56771,2,0,55,55
56771,12,0,9,9
56771,28,0,105,105
56772,1,0,13,13
56772,5,722,208,930
56773,60,151,76,227
56774,12,16,4,20
56774,60,0,17,17
56775,5,57,48,105
56775,12,0,6,6
56776,2,0,8,8
56777,1,0,6,6
56777,5,0,68,68
56777,9,0,17,17
